GEOLABEL,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
Spain,14.4,14.4,14.3,14.1,14.1,14.1,14.2,14.1,14,13.9,13.9,13.8,13.9,13.8,14.5,15.1,15.3,15.9,16.3,16.6,16.5,16.3,16.2,16.2,15.8,15.7,15.4,15.4,15.4,15.3,15,14.7,14.6,14.4,14.1,0
France,8.7,8.6,8.7,8.6,8.8,8.7,8.4,8.2,8.1,8.2,8.1,8.1,8.1,7.7,7.5,7.5,7.1,7.5,8.7,9,9,8.3,8,7.8,7.9,8.1,8.1,8.3,8.3,8.1,8,7.9,7.7,7.6,7.5,0
Croatia,7.3,7.2,7,6.8,6.7,6.6,6.6,6.5,6.4,6.4,6.4,6.4,6,5.9,6.5,7.8,8.6,8.6,8.5,8.6,8.6,8.5,8.5,8.6,8.1,8.1,8.2,8.5,8.7,8.2,8,7.9,7.6,7.3,7.1,0
Italy,10.5,10.5,10.1,10.4,10.1,9.7,9.7,9.6,9.8,9.7,9.9,9.9,9.7,9.7,7.3,7.4,8.5,9.5,10.1,10,10.1,10,9.6,9.8,10.2,10.1,10,10.1,9.9,9.4,9.2,9.3,9.2,9.4,9.2,0
Cyprus,7.6,7.5,7.6,7.4,7.1,7,6.9,6.7,6.6,6.5,6.9,6.7,6.4,6.1,6.3,7.3,7.7,7.5,7.7,8.4,9,9.9,8,8,7.3,7.5,7.8,8.7,10.1,9.4,7.2,6.8,6.2,6.6,6.4,0
Latvia,6.8,6.6,6.4,6.3,6.3,6.4,6.3,6.2,6,5.8,6,6.6,7.2,7.2,7.4,8.3,8.6,8.7,8.7,8.6,8.4,8.2,8.1,7.9,7.7,7.7,7.6,7.7,7.8,8,7.7,7.4,7,7,7.3,0
Lithuania,6,6.1,6.1,6,6.1,6.2,6.4,6.5,6.5,6.3,6.5,6.6,6.2,6.7,7.2,7.9,8.6,9.1,9.4,9.8,9.9,9.3,9.2,9.2,7.4,6.8,6.5,7.2,7.7,7.8,7.3,7,6.7,6.5,6,0
Luxembourg,5.2,5.4,5.6,5.7,5.7,5.7,5.7,5.7,5.5,5.5,5.6,5.6,5.7,5.7,6.5,7.4,7.7,7.6,7.1,6.7,6.5,6.2,6.2,6.4,6.3,6.2,6.1,6.1,5.9,5.6,5.5,5.3,5.2,5,5,0
Hungary,3.5,3.2,3.3,3.4,3.3,3.2,3.4,3.3,3.4,3.5,3.5,3,3.6,3.5,3.4,3.6,4.9,4.9,4.3,4.2,4.3,4,4.3,4.2,4.5,4.5,4,4.1,4.2,4.1,4.1,4.1,3.6,3.9,3.8,0
Malta,3.7,3.8,3.7,3.7,3.5,3.5,3.6,3.6,3.7,3.6,3.6,3.5,3.5,3.4,3.7,4.4,4.7,4.8,4.9,4.9,4.7,4.6,4.4,4.4,4.2,4,3.8,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5,0
Netherlands,4.6,4.4,4.4,4.3,4.3,4.4,4.4,4.5,4.5,4.5,4.5,4.3,4.1,4,4.1,4.5,4.6,5.4,5.5,5.5,5.4,5.3,5,4.9,4.7,4.7,4.6,4.5,4.4,4.2,4.1,4.2,4.1,3.9,3.7,3.8
Austria,4.9,5.1,4.9,5.1,4.9,4.6,4.9,5,4.6,4.9,4.4,4.5,4.4,4.5,4.9,6,7.1,7.7,6.8,6.4,6.4,6.1,6.1,6.8,7.3,7,6.7,7.1,6.7,6.2,6,5.9,5.2,5.7,5.3,0
Poland,3.8,3.7,3.6,3.4,3.3,3.2,3.2,3.1,3.1,3,3,3,3,3,2.9,3,3.2,3.3,3.4,3.3,3.3,3.2,3.2,3.4,3.7,3.9,3.9,3.8,3.6,3.4,3.2,3.1,3,3,3,0
Portugal,6.7,6.6,6.6,6.7,6.7,6.7,6.6,6.5,6.7,6.6,6.8,6.8,6.9,6.6,6.3,6.4,6,7.5,8.1,8.2,8,7.6,7.2,6.9,7,6.9,6.6,7,7,6.8,6.6,6.3,6.4,6.4,6.3,0
Romania,5.2,5,4.9,4.9,4.8,4.7,4.8,4.7,5,4.9,4.9,5.1,5,5.1,5.6,6.2,6.4,6.7,6.3,6.2,6.1,6.2,6.3,6.4,6,6,5.9,5.5,5.3,5.2,5.2,5.4,5.2,5.2,5.2,0
Slovenia,4.5,4.5,4.4,4.3,4.3,4.5,4.8,4.9,4.8,4.4,4.1,4,4.1,4.2,4.4,5.2,5.4,5.4,5.2,5.2,5.1,5.1,5.3,5.3,5.4,5.2,5,4.7,4.5,4.4,4.5,4.6,4.7,4.8,4.8,0
Slovakia,5.9,5.8,5.8,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.8,6,6,6,6.6,6.7,6.7,7,7.1,7,7,7.1,7.1,7.1,7.1,7.2,7.1,7,6.9,6.7,6.6,6.5,6.4,6.3,0
Finland,6.7,7,6.4,7.2,6.8,6.2,6.6,7,6.7,6.9,6.9,6.5,6.8,6.6,6.7,7.1,8.6,7.6,8.3,8.8,8.2,8.3,7.9,8.2,8.4,8,7.5,8.5,8.2,7.7,7.7,7.1,7.7,6.7,6.8,0
Sweden,6.2,6.7,7.2,6.4,6.5,6.3,7.1,7.1,6.7,6.8,7.6,6.7,7.2,7.6,6.6,7.9,8.4,9,9.2,9,8.9,8.7,8.4,8.8,9,9,9.4,9.1,9.1,9.4,8.3,8.8,8.8,8.5,8.3,0
United Kingdom,3.8,3.7,3.7,3.7,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.9,3.9,3.9,3.9,3.8,4,4.4,4.7,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,3.3,3.4,3.5,3.6,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.8,5,5.3,5.6,5.8,6,6.2,6.4,6.5,6.7,6.8,6.9,6.8,6.7,6.6,6.4,6.1,5.9,5.6,5.4,5.2,5.1,5,0
Norway,3.8,3.8,3.6,3.3,3.4,3.6,3.8,3.7,3.9,3.8,4,3.9,3.7,3.5,3.6,4.1,4.6,5.2,5.2,5.3,5.1,5.2,5,4.9,4.9,4.7,4.8,5,5,4.9,4.3,4,3.6,3.6,0,0
Switzerland,4.7,4.6,4.5,4.5,4.4,4.4,4.4,4.5,4.4,4.2,4.1,4.1,4.1,4.1,4.3,4.6,4.9,5,5.1,5.1,5.1,5.1,5.1,5.2,5.4,5.5,5.4,5.4,5.3,5.2,5.1,4.9,4.9,0,0,0
Turkey,13.5,13.9,13.9,13.7,13.7,13.7,13.9,14,14.1,13.4,13.4,13.4,13.2,12.8,13.1,13.4,13.2,13.3,14.4,12.9,12.8,13,13,12.8,12.7,13.2,13,13.4,12.6,10.6,11.9,11.8,11.5,0,0,0
United States,4,3.8,3.8,3.7,3.7,3.6,3.6,3.7,3.5,3.6,3.6,3.6,3.5,3.5,4.4,14.8,13.3,11.1,10.2,8.4,7.8,6.9,6.7,6.7,6.3,6.2,6,6.1,5.8,5.9,5.4,5.2,4.8,4.6,4.2,0
Japan,2.5,2.4,2.5,2.4,2.3,2.3,2.3,2.3,2.4,2.4,2.3,2.2,2.4,2.4,2.5,2.6,2.8,2.8,2.9,3,3,3.1,3,3,2.9,2.9,2.6,2.8,3,2.9,2.8,2.8,2.8,2.7,2.8,0
